Noeud,Degre,Clustering,Triangles,kCore,Centralite_Degre,Centralite_Proximite,Centralite_Intermediarite,Centralite_Vecteur_Propre
1,9,0.3333333333333333,12,4,0.2727272727272727,0.4852941176470588,0.053936688311688304,0.2659538704545024
2,10,0.24444444444444444,11,4,0.30303030303030304,0.559322033898305,0.14365680615680618,0.3171893899684447
3,6,0.6666666666666666,10,4,0.18181818181818182,0.4647887323943662,0.011909271284271283,0.21117407832057056
4,3,0.6666666666666666,2,3,0.09090909090909091,0.3793103448275862,0.0006313131313131313,0.0759664588165738
5,4,0.5,3,3,0.12121212121212122,0.38372093023255816,0.02998737373737374,0.07948057788594245
6,4,0.5,3,3,0.12121212121212122,0.38372093023255816,0.029987373737373736,0.07948057788594245
7,4,1.0,6,4,0.12121212121212122,0.44,0.0,0.1709551149803543
8,5,0.5,5,4,0.15151515151515152,0.515625,0.05592682780182781,0.22740509147166046
9,2,0.0,0,2,0.06060606060606061,0.4342105263157895,0.0008477633477633478,0.10267519030637756
10,3,0.6666666666666666,2,3,0.09090909090909091,0.3793103448275862,0.0006313131313131313,0.0759664588165738
11,1,0.0,0,1,0.030303030303030304,0.36666666666666664,0.0,0.05285416945233646
12,2,1.0,1,2,0.06060606060606061,0.3707865168539326,0.0,0.08425192086558085
13,5,0.6,6,4,0.15151515151515152,0.515625,0.04586339586339586,0.22646969838808145
14,2,1.0,1,2,0.06060606060606061,0.3707865168539326,0.0,0.10140627846270832
15,2,1.0,1,2,0.06060606060606061,0.3707865168539326,0.0,0.10140627846270832
16,2,1.0,1,2,0.06060606060606061,0.28448275862068967,0.0,0.02363479426059687
17,2,1.0,1,2,0.06060606060606061,0.375,0.0,0.0923967566684595
18,2,1.0,1,2,0.06060606060606061,0.3707865168539326,0.0,0.10140627846270832
19,3,0.3333333333333333,1,3,0.09090909090909091,0.5,0.03247504810004811,0.14791134007618667
20,2,1.0,1,2,0.06060606060606061,0.3707865168539326,0.0,0.10140627846270832
21,2,1.0,1,2,0.06060606060606061,0.375,0.0,0.0923967566684595
22,2,1.0,1,2,0.06060606060606061,0.3707865168539326,0.0,0.10140627846270832
23,5,0.4,4,3,0.15151515151515152,0.39285714285714285,0.017613636363636363,0.15012328691726787
24,3,0.3333333333333333,1,3,0.09090909090909091,0.375,0.0022095959595959595,0.057053735638028055
25,3,0.3333333333333333,1,3,0.09090909090909091,0.375,0.0038404882154882154,0.0592082025027901
26,2,1.0,1,2,0.06060606060606061,0.3626373626373626,0.0,0.07558192219009324
27,4,0.16666666666666666,1,3,0.12121212121212122,0.4583333333333333,0.02233345358345358,0.13347932684333308
28,3,0.3333333333333333,1,3,0.09090909090909091,0.4520547945205479,0.0017947330447330447,0.13107925627221215
29,4,0.6666666666666666,4,3,0.12121212121212122,0.38372093023255816,0.0029220779220779218,0.13496528673866567
30,4,0.5,3,4,0.12121212121212122,0.4583333333333333,0.014411976911976909,0.17476027834493088
31,6,0.2,3,3,0.18181818181818182,0.5409836065573771,0.13827561327561325,0.191036269797917
32,12,0.19696969696969696,13,4,0.36363636363636365,0.515625,0.145247113997114,0.3086510477336959
33,17,0.11029411764705882,15,4,0.5151515151515151,0.55,0.30407497594997596,0.37337121301323506
34,0,0.0,0,0,0.0,0.0,0.0,0.0
